epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,1936.01,2.5426,2.94621,2.22475,0.29926,0.31603,0.24865,0.07509,2.93153,3.00889,2.53399,0.00267756,0.00267756,0.00267756
129,1950.5,2.51789,2.92525,2.2225,0.26034,0.28321,0.22498,0.07794,2.85602,3.24945,2.48449,0.00264334,0.00264334,0.00264334
130,1964.9,2.56551,2.94196,2.2126,0.25894,0.33042,0.23193,0.08068,2.8744,3.07462,2.49909,0.00260913,0.00260913,0.00260913
131,1979.34,2.52232,2.9264,2.20663,0.25196,0.32902,0.23658,0.08538,2.79999,3.06134,2.46289,0.00257491,0.00257491,0.00257491
132,1993.7,2.53219,2.9474,2.2066,0.41215,0.2363,0.27021,0.09143,2.83521,3.08624,2.45558,0.00254069,0.00254069,0.00254069
133,2008.1,2.55036,2.92443,2.2067,0.26232,0.3286,0.2637,0.08557,2.89163,3.10312,2.52293,0.00250648,0.00250648,0.00250648
134,2022.49,2.55269,2.92738,2.19174,0.29345,0.35907,0.27345,0.10045,2.7686,3.04731,2.41461,0.00247226,0.00247226,0.00247226
135,2037.74,2.52929,2.9074,2.21034,0.27407,0.32442,0.25502,0.08192,2.8511,3.05664,2.50232,0.00243804,0.00243804,0.00243804
136,2052.92,2.52563,2.88251,2.18275,0.26646,0.29476,0.23764,0.07746,2.88487,3.09209,2.52015,0.00240383,0.00240383,0.00240383
137,2068.15,2.51055,2.89157,2.2148,0.2639,0.35006,0.25454,0.08832,2.87638,3.11331,2.52606,0.00236961,0.00236961,0.00236961
138,2083.42,2.53057,2.92536,2.20988,0.24853,0.36335,0.24597,0.088,2.80655,3.07263,2.45762,0.00233539,0.00233539,0.00233539
139,2098.69,2.50886,2.83813,2.17971,0.32639,0.3456,0.27745,0.09674,2.84746,3.07447,2.46912,0.00230118,0.00230118,0.00230118
140,2113.95,2.50291,2.86303,2.20169,0.34044,0.32371,0.28468,0.09556,2.89736,3.10354,2.53536,0.00226696,0.00226696,0.00226696
141,2129.29,2.54236,2.87277,2.19714,0.33061,0.32908,0.26619,0.09113,2.79595,3.39484,2.44917,0.00223274,0.00223274,0.00223274
142,2144.55,2.49663,2.81959,2.1703,0.28698,0.38211,0.28291,0.10908,2.77045,3.06898,2.46161,0.00219853,0.00219853,0.00219853
143,2159.92,2.51493,2.86595,2.18141,0.32136,0.31729,0.28364,0.10751,2.76274,3.1943,2.39535,0.00216431,0.00216431,0.00216431
144,2174.73,2.49581,2.84769,2.19542,0.29006,0.33562,0.2669,0.09232,2.84111,3.01669,2.49395,0.00213009,0.00213009,0.00213009
145,2189.39,2.50705,2.85048,2.21253,0.25964,0.35135,0.26874,0.09285,2.87624,3.13865,2.53215,0.00209588,0.00209588,0.00209588
146,2203.72,2.51435,2.86182,2.1871,0.3172,0.33911,0.28843,0.10097,2.841,2.99919,2.47682,0.00206166,0.00206166,0.00206166
147,2218.26,2.50347,2.85163,2.20075,0.28232,0.35267,0.27972,0.09515,2.79657,2.95302,2.46013,0.00202744,0.00202744,0.00202744
148,2232.67,2.47462,2.8113,2.17684,0.31802,0.33139,0.27007,0.09049,2.84474,3.23364,2.48737,0.00199323,0.00199323,0.00199323
149,2247.05,2.47713,2.8015,2.16249,0.3011,0.37327,0.29214,0.09912,2.76635,2.96975,2.41248,0.00195901,0.00195901,0.00195901
150,2261.46,2.48188,2.80147,2.17762,0.30966,0.39168,0.27712,0.09288,2.78291,2.98776,2.46587,0.00192479,0.00192479,0.00192479
151,2275.79,2.48343,2.81707,2.17839,0.31309,0.37478,0.29475,0.10222,2.73611,3.05077,2.41926,0.00189058,0.00189058,0.00189058
152,2290.15,2.48277,2.80313,2.16121,0.31039,0.33879,0.27639,0.08879,2.81067,3.076,2.45062,0.00185636,0.00185636,0.00185636
153,2304.47,2.46178,2.77733,2.15912,0.33572,0.35603,0.3022,0.09931,2.8219,2.97533,2.44587,0.00182214,0.00182214,0.00182214
154,2318.89,2.45362,2.78067,2.15525,0.38695,0.33731,0.28541,0.10472,2.74299,2.95972,2.37592,0.00178793,0.00178793,0.00178793
155,2333.29,2.45631,2.77906,2.14495,0.28175,0.34473,0.23856,0.07608,2.91541,3.03564,2.54524,0.00175371,0.00175371,0.00175371
156,2347.73,2.43873,2.76886,2.13027,0.36685,0.38844,0.30315,0.11044,2.73107,3.00933,2.39478,0.00171949,0.00171949,0.00171949
157,2362.17,2.4331,2.74942,2.13655,0.28553,0.34126,0.29095,0.10142,2.80564,2.91922,2.45525,0.00168527,0.00168527,0.00168527
158,2376.62,2.4517,2.76748,2.13414,0.348,0.34139,0.30522,0.10933,2.83178,3.00895,2.45966,0.00165106,0.00165106,0.00165106
159,2390.97,2.48295,2.76836,2.15456,0.33643,0.34325,0.29747,0.10838,2.77946,2.96631,2.44489,0.00161684,0.00161684,0.00161684
160,2405.37,2.44546,2.73051,2.13721,0.31308,0.3676,0.30493,0.10618,2.8045,2.95714,2.44113,0.00158262,0.00158262,0.00158262
161,2419.73,2.46562,2.76556,2.16522,0.44969,0.29651,0.29408,0.10218,2.79239,2.99046,2.45511,0.00154841,0.00154841,0.00154841
162,2434.1,2.44484,2.75393,2.12817,0.34548,0.39556,0.2995,0.10519,2.72827,3.127,2.39283,0.00151419,0.00151419,0.00151419
163,2448.51,2.40598,2.67598,2.12443,0.32769,0.3579,0.28129,0.09091,2.83879,2.91857,2.47768,0.00147997,0.00147997,0.00147997
